id,name,category,neighborhood,zip,phone,address,website,description,description_es,description_fa,description_vi
11,AAMA Adelante Adult Literacy,Education & ESL,East End,77023,713-929-2330,"6001 Gulf Freeway, Building E, Houston, TX 77023",aama.org,Free ESL adult basic education GED computer literacy and workforce certification classes plus free child care for qualifying students.,"Clases gratuitas de inglés, educación básica para adultos, GED, alfabetización informática y certificación laboral, más cuidado infantil gratuito para estudiantes elegibles.","کلاس‌های رایگان زبان انگلیسی، آموزش پایه بزرگسالان، GED، سواد رایانه‌ای و گواهی‌نامه‌های شغلی، به همراه مراقبت رایگان از کودکان برای دانش‌آموزان واجد شرایط.","Lớp học tiếng Anh miễn phí, giáo dục cơ bản cho người lớn, GED, tin học và chứng chỉ nghề, cùng với dịch vụ giữ trẻ miễn phí cho học viên đủ điều kiện."
12,HCDE Adult Education ESL,Education & ESL,Citywide,,713-692-6216,"6515 Irvington Blvd, Houston, TX 77022",hcde-texas.org,Harris County Department of Education program offering free beginning through advanced ESL classes online and in person across the county.,"Programa del Departamento de Educación del Condado de Harris que ofrece clases gratuitas de inglés, desde nivel principiante hasta avanzado, en línea y en persona en todo el condado.","برنامه‌ی اداره آموزش شهرستان هریس که کلاس‌های رایگان زبان انگلیسی از سطح مقدماتی تا پیشرفته را به‌صورت آنلاین و حضوری در سراسر شهرستان ارائه می‌دهد.","Chương trình của Sở Giáo dục Quận Harris cung cấp các lớp tiếng Anh miễn phí từ trình độ cơ bản đến nâng cao, trực tuyến và trực tiếp trên toàn quận."
13,Houston Public Library - Cultural Connections & ESL,Education & ESL,Citywide,,832-393-1313,"Central Library, 500 McKinney St, Houston, TX 77002",houstonlibrary.org,Free English and language-learning classes plus cultural-orientation programming open to new immigrants at branches across the city.,"Clases gratuitas de inglés y aprendizaje de idiomas, además de programación de orientación cultural, abiertas a nuevos inmigrantes en sucursales de toda la ciudad.","کلاس‌های رایگان زبان انگلیسی و یادگیری زبان، به همراه برنامه‌های آشنایی فرهنگی، برای مهاجران تازه‌وارد در شعبه‌های سراسر شهر.","Lớp học tiếng Anh và ngôn ngữ miễn phí, cùng các chương trình định hướng văn hóa, dành cho người nhập cư mới tại các chi nhánh trên toàn thành phố."
14,HOPE Clinic,Healthcare,Southwest Houston,77036,713-773-0803,"7001 Corporate Dr, #120, Houston, TX 77036",hopechc.org,Multicultural community health center providing primary medical dental and behavioral health care for low-income and immigrant families.,"Centro de salud comunitario multicultural que brinda atención médica primaria, dental y de salud mental para familias de bajos ingresos e inmigrantes.","مرکز بهداشت جامعه چندفرهنگی که مراقبت‌های پزشکی عمومی، دندانپزشکی و رفتاری را برای خانواده‌های کم‌درآمد و مهاجر ارائه می‌دهد.","Trung tâm y tế cộng đồng đa văn hóa cung cấp dịch vụ chăm sóc y tế, nha khoa và tâm lý cho các gia đình thu nhập thấp và nhập cư."
15,El Centro de Corazon,Healthcare,East End,77011,713-660-1880,"7037 Capitol St, Ste N100, Houston, TX 77011",elcentrodecorazon.org,Federally qualified health center serving low-income and predominantly Hispanic families in Houston's East End with medical and dental care.,"Centro de salud federalmente calificado que atiende a familias de bajos ingresos, mayormente hispanas, en el East End de Houston, con atención médica y dental.","مرکز بهداشتی واجد شرایط فدرال که به خانواده‌های کم‌درآمد و عمدتاً هیسپانیک در East End هیوستون خدمات پزشکی و دندانپزشکی ارائه می‌دهد.","Trung tâm y tế đủ điều kiện liên bang phục vụ các gia đình thu nhập thấp, chủ yếu là người gốc Hispanic, tại khu East End của Houston, với dịch vụ y tế và nha khoa."
16,Legacy Community Health,Healthcare,Citywide,,832-548-5000,,legacycommunityhealth.org,Federally qualified health network with clinics across Houston offering sliding-scale primary care for low-income and uninsured residents.,"Red de salud federalmente calificada con clínicas en toda el área de Houston que ofrece atención primaria con tarifas ajustadas según ingresos para personas de bajos ingresos y sin seguro.","شبکه بهداشتی واجد شرایط فدرال با کلینیک‌هایی در سراسر هیوستون که مراقبت‌های اولیه با هزینه متناسب با درآمد برای افراد کم‌درآمد و بدون بیمه ارائه می‌دهد.","Mạng lưới y tế đủ điều kiện liên bang với các phòng khám khắp Houston, cung cấp dịch vụ chăm sóc ban đầu với mức phí theo thu nhập cho người thu nhập thấp và không có bảo hiểm."
17,Houston Food Bank,Food Assistance,East Houston,77029,713-223-3700,"535 Portwall St, Houston, TX 77029",houstonfoodbank.org,Largest hunger-relief organization in southeast Texas coordinating pantries meal programs and produce distributions across 18 counties.,"El mayor organismo de ayuda contra el hambre del sureste de Texas; coordina despensas, programas de comidas y distribución de productos frescos en 18 condados.","بزرگ‌ترین سازمان امداد گرسنگی در جنوب‌شرق تگزاس که انبارهای غذا، برنامه‌های وعده غذایی و توزیع محصولات تازه را در ۱۸ شهرستان هماهنگ می‌کند.","Tổ chức cứu trợ nạn đói lớn nhất Đông Nam Texas, điều phối các kho thực phẩm, chương trình bữa ăn và phân phối nông sản trên 18 quận."
18,Target Hunger,Food Assistance,Near Northside,77026,713-226-4953,"2814 Quitman St, Houston, TX 77026",targethunger.org,Food assistance and navigation programs that provided food to more than 25000 individuals and 9200 households across Houston in 2025.,"Programas de asistencia alimentaria y orientación que en 2025 brindaron alimentos a más de 25,000 personas y 9,200 hogares en Houston.","برنامه‌های کمک غذایی و راهنمایی که در سال ۲۰۲۵ به بیش از ۲۵٬۰۰۰ نفر و ۹٬۲۰۰ خانوار در هیوستون غذا رساندند.","Các chương trình hỗ trợ thực phẩm và hướng dẫn đã cung cấp thực phẩm cho hơn 25.000 cá nhân và 9.200 hộ gia đình tại Houston trong năm 2025."
19,Interfaith Ministries for Greater Houston,Food Assistance,Downtown,77002,713-533-4900,"3303 Main St, Houston, TX 77002",imgh.org,Emergency food assistance and a Meals on Wheels senior meals program alongside refugee housing English classes and job placement support.,"Asistencia alimentaria de emergencia y el programa de comidas para personas mayores Meals on Wheels, además de vivienda para refugiados, clases de inglés y apoyo para conseguir empleo.","کمک غذایی اضطراری و برنامه وعده‌های غذایی سالمندان Meals on Wheels، به همراه مسکن پناهندگان، کلاس‌های زبان انگلیسی و کمک به یافتن شغل.","Hỗ trợ thực phẩm khẩn cấp và chương trình bữa ăn cho người cao tuổi Meals on Wheels, cùng với nhà ở cho người tị nạn, lớp học tiếng Anh và hỗ trợ tìm việc làm."
20,Kids' Meals,Food Assistance,Citywide,,713-695-5437,"8790 Hammerly Blvd, Houston, TX 77080",kidsmealsinc.org,Delivers free healthy meals on weekdays to the homes of children under six and connects families to a broader support network.,"Entrega comidas gratuitas y saludables entre semana a los hogares de niños menores de seis años, y conecta a las familias con una red de apoyo más amplia.","در روزهای هفته وعده‌های غذایی رایگان و سالم را به خانه کودکان زیر شش سال تحویل می‌دهد و خانواده‌ها را به شبکه گسترده‌تری از حمایت متصل می‌کند.","Giao bữa ăn miễn phí, lành mạnh vào các ngày trong tuần đến tận nhà cho trẻ em dưới sáu tuổi, và kết nối các gia đình với mạng lưới hỗ trợ rộng lớn hơn."
21,Memorial Assistance Ministries - Resale & Voucher Program,Clothing & Household Goods,Spring Branch,77080,713-491-4330,"1625 Blalock Rd, Houston, TX 77080",mamhouston.org,Issues clothing and furniture vouchers redeemable at the MAM Resale Store which also sells low-cost clothing home furnishings electronics and household items.,"Otorga vales de ropa y de muebles que se pueden usar en la tienda de reventa de MAM, la cual también vende ropa, muebles para el hogar, electrónicos y artículos del hogar a bajo costo.","کوپن‌های رایگان لباس و مبلمان صادر می‌کند که در فروشگاه دست‌دوم MAM قابل استفاده است؛ این فروشگاه همچنین لباس، وسایل خانه، لوازم الکترونیکی و اقلام خانگی را با قیمت پایین می‌فروشد.","Cấp phiếu mua quần áo và đồ nội thất có thể sử dụng tại Cửa hàng Bán lại MAM, nơi cũng bán quần áo, đồ nội thất, đồ điện tử và vật dụng gia đình với giá thấp."
22,Faith Center Spring Branch,Clothing & Household Goods,Spring Branch,77055,713-554-8820,"8244 Long Point Rd, Houston, TX 77055",houstonsfirst.org,Free food pantry and clothes closet providing groceries clothing and hygiene essentials to Spring Branch families with visits by appointment.,"Despensa de alimentos gratuita y ropero comunitario que ofrece víveres, ropa y artículos de higiene a familias de Spring Branch; las visitas son con cita previa.","انبار غذای رایگان و انبار پوشاک که مواد غذایی، لباس و اقلام بهداشتی را برای خانواده‌های Spring Branch فراهم می‌کند؛ بازدید فقط با وقت قبلی.","Kho thực phẩm miễn phí và tủ quần áo cung cấp thực phẩm, quần áo và vật dụng vệ sinh cho các gia đình ở Spring Branch; cần đặt lịch hẹn trước."
23,Christian Community Service Center - Emergency Services Central,Clothing & Household Goods,Greenway,77027,713-871-9741,"3434 Branard St, Houston, TX 77027",ccschouston.org,This Emergency Services Central location provides gently used clothing diapers hygiene kits and a five-day food package after a walk-in interview; CCSC's Southwest branch offers food and hygiene only not clothing.,"La sede Emergency Services Central ofrece ropa usada en buen estado, pañales, kits de higiene y un paquete de alimentos para cinco días tras una entrevista sin cita previa; la sucursal Southwest de CCSC solo ofrece alimentos e higiene, no ropa.","شعبه‌ی Emergency Services Central لباس‌های دست‌دوم سالم، پوشک، کیت‌های بهداشتی و یک بسته غذای پنج‌روزه پس از مصاحبه بدون وقت قبلی ارائه می‌دهد؛ شعبه‌ی Southwest این سازمان فقط غذا و اقلام بهداشتی دارد، نه لباس.","Chi nhánh Emergency Services Central cung cấp quần áo cũ còn tốt, tã, bộ dụng cụ vệ sinh và gói thực phẩm 5 ngày sau khi phỏng vấn không cần hẹn trước; chi nhánh Southwest của CCSC chỉ có thực phẩm và vật dụng vệ sinh, không có quần áo."
24,Emergency Aid Coalition - Clothing Center,Clothing & Household Goods,Third Ward,77004,713-343-3061,"5401 Fannin St, Houston, TX 77004",eachouston.org,Free clothing up to two outfits per person shoes when available toiletries and underwear for men women and children with visits by appointment only.,"Ropa gratuita (hasta dos mudas por persona), zapatos cuando hay disponibilidad, artículos de higiene y ropa interior para hombres, mujeres y niños; las visitas son solo con cita previa.","لباس رایگان (تا دو دست لباس برای هر نفر)، کفش در صورت موجودی، لوازم بهداشتی و لباس زیر برای مردان، زنان و کودکان؛ بازدید فقط با وقت قبلی.","Quần áo miễn phí (tối đa hai bộ mỗi người), giày khi có sẵn, đồ dùng vệ sinh và đồ lót cho nam, nữ và trẻ em; chỉ tiếp nhận theo lịch hẹn."
25,Houston Furniture Bank,Clothing & Household Goods,South Houston,77075,713-842-9777,"8220 Mosley Rd, Houston, TX 77075",houstonfurniturebank.org,Provides free furniture such as beds tables seating and mattresses to families in need but only through referral from a partner social-service agency not direct walk-in.,"Proporciona muebles gratuitos, como camas, mesas, sillas y colchones, a familias necesitadas, pero solo mediante referencia de una agencia de servicios sociales asociada, no por visita directa.","مبلمان رایگان مانند تخت، میز، صندلی و تشک را برای خانواده‌های نیازمند فراهم می‌کند، اما فقط از طریق معرفی یک سازمان خدمات اجتماعی همکار، نه به‌صورت مراجعه مستقیم.","Cung cấp đồ nội thất miễn phí như giường, bàn, ghế và nệm cho các gia đình cần giúp đỡ, nhưng chỉ thông qua giới thiệu từ một cơ quan dịch vụ xã hội đối tác, không nhận trực tiếp."
26,Casa Juan Diego,Clothing & Household Goods,Houston Heights,77007,713-869-7376,"4818 Rose St, Houston, TX 77007",cjd.org,Catholic Worker house of hospitality offering weekly free food and clothing distribution plus household-goods assistance specifically for immigrant and refugee families.,"Casa de hospitalidad católica (Catholic Worker) que ofrece distribución semanal gratuita de alimentos y ropa, además de ayuda con artículos del hogar, específicamente para familias inmigrantes y refugiadas.","خانه‌ی مهمان‌نوازی کاتولیک (Catholic Worker) که هر هفته غذا و لباس رایگان توزیع می‌کند و به‌طور ویژه به خانواده‌های مهاجر و پناهنده در تهیه اقلام خانگی کمک می‌کند.","Nhà tiếp đón Công giáo (Catholic Worker) cung cấp thực phẩm và quần áo miễn phí hàng tuần, cùng hỗ trợ vật dụng gia đình, dành riêng cho các gia đình nhập cư và tị nạn."
27,Lilly Grove Missionary Baptist Church - Clothes Closet,Clothing & Household Goods,South Union,77021,713-748-7324,"7030 Tierwester St, Houston, TX 77021",lillygrove.org,Free clothing for men women and children including suits shirts casual wear shoes undergarments uniforms and backpacks from a dedicated house across from the church.,"Ropa gratuita para hombres, mujeres y niños —trajes, camisas, ropa informal, zapatos, ropa interior, uniformes y mochilas— en una casa dedicada frente a la iglesia.","لباس رایگان برای مردان، زنان و کودکان -کت‌وشلوار، پیراهن، لباس‌های روزمره، کفش، لباس زیر، یونیفرم و کوله‌پشتی- از خانه‌ای اختصاصی روبه‌روی کلیسا.","Quần áo miễn phí cho nam, nữ và trẻ em — vest, áo sơ mi, trang phục thường ngày, giày, đồ lót, đồng phục và ba lô — tại một ngôi nhà riêng đối diện nhà thờ."
